Time (ms),Input x,Output x,Input y,Output y,Accel x (+/- 0.1 m/s^2),Accel y (+/- 0.1 m/s^2),Accel z (+/- 0.1 m/s^2),Gyro x (+/- 0.2 rad/s),Gyro y (+/- 0.2 rad/s),Gyro z (+/- 0.2 rad/s),Flight Phase
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
81178,-0.04,0.28,-4.17,20.00,-0.06,10.56,0.03,-0.51,-1.08,0.79,2
81227,-1.55,0.28,-4.78,20.00,-0.27,10.71,-0.02,-1.25,0.27,-1.62,2
81277,-1.68,0.28,-4.79,20.00,-0.42,10.67,-0.07,0.13,0.66,-0.17,2
81327,-2.20,9.89,-4.81,8.82,-1.69,10.92,-0.14,-0.77,-0.47,0.58,2
81377,-2.21,9.89,-4.68,8.82,-1.32,10.43,0.03,-0.86,-0.43,0.11,2
81427,-0.23,5.03,-4.73,5.08,-0.52,9.96,0.82,-0.86,-4.43,-0.81,2
81477,-2.07,5.03,-4.44,5.08,-3.37,10.50,2.46,-0.93,-5.37,-4.50,2
81527,-1.99,1.12,-3.76,3.27,-1.05,8.20,0.38,-11.53,-2.41,4.13,2
81577,-3.38,1.12,-3.96,3.27,-1.81,8.41,0.84,-8.94,-19.81,-7.81,2
81627,-3.91,8.97,-4.65,-0.44,-2.54,10.19,0.80,-24.84,-13.03,-10.45,2
81677,-0.15,8.97,-3.22,-0.44,-0.60,11.54,0.25,-26.03,-78.77,-2.96,2
81727,-5.35,-5.48,-4.37,4.91,1.58,10.18,1.29,-48.53,-36.70,-10.86,2
81777,-6.85,-5.48,-1.19,4.91,1.31,6.50,-4.11,-41.87,-500.00,10.44,2
81827,-12.82,20.00,0.40,-9.69,0.90,7.48,-2.61,-79.40,-500.00,-8.90,2
81877,-10.99,20.00,2.23,-9.69,2.26,7.61,2.87,-77.69,-52.98,-10.94,2
81927,-5.71,2.18,2.35,-20.00,2.51,9.81,5.55,-86.48,-60.78,2.55,2
81977,3.30,2.18,1.92,-20.00,3.88,8.14,-4.00,-64.37,-62.32,-6.36,2
82027,4.15,-20.00,6.26,-6.87,2.96,8.07,2.15,-44.57,-65.23,-10.62,2
82077,0.29,-20.00,6.15,-6.87,3.53,7.85,-3.19,-27.52,-500.00,-11.41,2
82127,0.95,20.00,12.14,-20.00,-0.24,5.25,-6.01,-16.76,-32.90,-19.75,2
82177,1.24,20.00,13.13,-20.00,1.87,6.95,-1.02,0.94,-500.00,-5.65,2
82227,7.67,-20.00,13.76,-20.00,5.34,8.94,-5.09,17.14,-500.00,-5.57,2
82277,6.44,-20.00,14.79,-20.00,7.34,7.88,1.71,34.84,-83.25,0.72,2
82327,12.99,-20.00,17.57,-20.00,1.19,7.50,-4.12,37.54,-16.30,3.22,2
82377,10.92,-20.00,17.83,-20.00,3.58,7.59,1.10,56.17,-37.28,9.86,2
82427,12.84,-20.00,18.33,-20.00,2.35,9.18,-5.36,75.31,-234.79,5.52,2
82477,14.71,-20.00,15.19,-20.00,1.72,9.35,0.45,90.81,55.36,19.94,2
82527,19.28,-20.00,14.20,-5.13,6.52,10.11,0.65,108.01,80.99,13.20,2
82577,13.63,-20.00,12.41,-5.13,-3.78,10.59,-1.44,121.56,93.51,-7.07,2
82627,13.55,-19.93,10.47,9.06,-1.13,10.05,1.63,133.73,135.51,-20.95,2
82677,18.21,-19.93,6.52,9.06,1.74,11.82,0.23,120.24,146.48,-32.81,2
82727,11.65,-17.77,3.90,20.00,-3.66,11.31,1.71,106.39,167.47,-61.97,2
82777,6.33,-17.77,0.78,20.00,-4.75,11.57,0.85,82.95,199.04,-82.31,2
82827,-3.83,20.00,-2.38,20.00,-4.81,13.47,1.51,47.32,-500.00,-137.67,2
82877,-8.10,20.00,-9.50,20.00,-31.82,49.09,-26.47,6.98,84.34,246.80,2
82927,-5.42,20.00,-18.47,20.00,-3.67,20.46,-0.41,2.48,-46.33,73.71,2
82977,-10.18,20.00,-2.53,20.00,6.27,14.23,-6.12,-22.72,-121.28,41.72,2
83027,-25.80,20.00,-7.05,-20.00,-2.12,20.84,2.06,-40.71,-83.95,54.38,2
83077,-31.80,20.00,-12.66,-20.00,-4.17,12.14,4.22,-53.32,-90.18,56.24,2
83127,-20.65,20.00,-16.43,20.00,1.73,7.25,-6.13,-52.32,-101.10,45.23,2
83177,-25.61,20.00,-19.43,20.00,-2.75,19.81,5.89,-55.80,-102.62,32.67,2
83227,-18.09,-20.00,-17.93,20.00,3.16,12.44,-6.03,-64.69,-118.47,31.39,2
83277,-14.86,-20.00,-14.00,20.00,-5.43,9.18,1.70,-86.99,-105.06,17.82,2
83327,-15.73,-20.00,-14.43,-14.41,-5.91,8.02,0.78,-95.91,-119.98,19.42,2
83377,-11.99,-20.00,-10.49,-14.41,3.26,8.45,-1.19,-111.09,-80.09,11.12,2
83427,-9.92,-13.97,-11.85,-7.09,5.23,9.13,5.03,-103.04,-64.56,0.32,2
83477,-3.01,-13.97,-6.48,-7.09,1.38,7.87,-5.45,-99.86,-55.91,-1.91,2
83527,0.54,-20.00,-7.10,-19.90,2.25,8.82,2.15,-92.57,-49.29,-9.31,2
83577,2.84,-20.00,-3.70,-19.90,2.37,8.05,-1.92,-83.17,-7.39,7.92,2
83627,8.04,-20.00,-1.20,-20.00,1.92,7.75,-0.45,-65.13,2.73,-5.86,2
83677,10.02,-20.00,4.71,-20.00,2.81,5.50,-0.06,-54.09,9.57,6.84,2
83727,13.54,-20.00,7.80,-20.00,1.39,8.19,-2.30,-47.34,29.01,21.19,2
83777,12.59,-20.00,14.94,-20.00,1.84,3.58,-0.58,-27.86,43.26,19.33,2
83827,11.09,-11.31,18.10,-20.00,3.54,6.61,-2.07,-20.82,73.30,40.50,2
83877,5.58,-11.31,20.32,-20.00,-0.83,4.84,0.07,-2.02,-287.48,49.04,2
83927,-0.35,20.00,22.90,-20.00,-2.70,5.15,-1.44,14.44,100.22,58.44,2
83977,3.49,20.00,23.68,-20.00,0.58,6.32,-0.05,32.96,98.97,59.69,2
84027,0.75,-19.96,25.50,-20.00,-1.42,6.20,0.67,50.59,106.17,51.77,2
84077,-5.41,-19.96,25.58,-20.00,-1.27,7.93,0.02,64.75,74.00,47.50,2
84127,-9.19,20.00,23.22,-20.00,-3.01,9.10,0.50,74.90,98.91,49.45,2
84176,-19.16,20.00,22.62,-20.00,-5.84,8.10,0.03,82.63,83.28,22.34,2
84226,-23.28,20.00,20.32,-13.33,-10.98,8.26,-1.47,104.16,-72.43,19.70,2
84276,-21.25,20.00,18.13,-13.33,-39.29,24.02,-21.25,88.93,64.33,-9.87,2
84326,-25.64,20.00,19.20,7.99,-9.15,8.28,-2.46,72.53,-28.35,-2.09,2
84376,-24.24,20.00,7.71,7.99,-6.69,13.74,-1.47,96.44,-63.83,8.96,2
84426,-9.30,20.00,10.52,20.00,13.21,8.42,21.16,89.67,-71.58,46.97,2
84476,-20.11,20.00,5.43,20.00,15.23,14.19,13.42,102.42,-45.79,-3.69,2
84526,-17.88,-3.41,-0.31,-8.00,7.08,10.18,-5.06,107.24,-49.44,40.24,2
84576,-15.68,-3.41,-6.25,-8.00,-8.47,14.76,4.45,109.12,-50.40,33.63,2
84626,-22.43,-10.65,-9.49,20.00,-1.98,14.82,-4.42,107.41,-49.82,8.12,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
84656,-16.51,-10.65,-13.87,20.00,0.09,13.03,-4.71,109.21,-53.56,47.53,2
