# Time (s),Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm),Stability margin calibers (​),Thrust (N),Pitch moment coefficient (​),Yaw moment coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Simulation time step (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,
0.01,0.093,92.516,0,0,512.754,102.954,0.063,0.0005379,73.26,NaN,0.258,NaN,NaN,7.5,44.179,90,0,2.114,15,1013.25,0.01
0.02,0.083,92.233,0,0,512.708,102.908,0.063,0.0005379,73.256,NaN,0.774,NaN,NaN,7.5,44.179,90,0,2.124,15,1013.25,0.01
0.03,0.073,91.952,0,0,512.662,102.861,0.063,0.0005379,73.252,NaN,1.29,NaN,NaN,7.5,44.179,90,0,2.135,15,1013.25,0.01
0.04,0.063,91.674,0,0,512.616,102.815,0.063,0.0005379,73.249,NaN,1.806,NaN,NaN,7.5,44.179,90,0,2.145,15,1013.25,0.01
0.05,0.053,91.398,0,0,512.57,102.769,0.063,0.0005379,73.245,NaN,2.322,NaN,NaN,7.5,44.179,90,0,2.156,15,1013.25,0.01
0.06,0.043,91.14,0,0,512.523,102.723,0.063,0.0005379,73.242,NaN,2.838,NaN,NaN,7.5,44.179,90,0,2.137,15,1013.25,0.01
0.07,0.032,90.878,0,0,512.477,102.677,0.063,0.0005379,73.238,NaN,3.355,NaN,NaN,7.5,44.179,90,0,2.119,15,1013.25,0.01
0.08,0.022,90.611,0,0,512.431,102.63,0.063,0.0005378,73.234,NaN,3.871,NaN,NaN,7.5,44.179,90,0,2.1,15,1013.25,0.01
0.09,0.012,90.339,0,0,512.385,102.584,0.063,0.0005378,73.231,NaN,4.387,NaN,NaN,7.5,44.179,90,0,2.082,15,1013.25,0.01
0.1,0.002,90.062,0,0,512.339,102.538,0.063,0.0005378,73.227,NaN,4.903,NaN,NaN,7.5,44.179,90,0,2.064,15,1013.25,0.01
0.11,0.008,89.782,0,0,512.293,102.492,0.063,0.0005378,73.224,NaN,5.419,NaN,NaN,7.5,44.179,90,0,2.066,15,1013.25,0.01
0.12,0.026,89.286,0,0,512.246,102.446,0.063,0.0005378,73.22,NaN,5.935,NaN,NaN,7.5,44.179,90,0,2.069,15,1013.25,0.01
0.13,0.054,88.512,0,0,512.2,102.4,0.063,0.0005378,73.216,NaN,6.451,NaN,NaN,7.5,44.179,90,0,2.072,15,1013.25,0.01
0.14,0.092,87.463,0,0,512.154,102.353,0.063,0.0005378,73.213,NaN,6.967,NaN,NaN,7.5,44.179,90,0,2.074,15,1013.25,0.01
0.15,0.14,86.141,0,0,512.093,102.292,0.063,0.0005378,73.208,NaN,7.484,NaN,NaN,7.5,44.179,90,0,2.077,15,1013.25,0.01
0.16,0.199,84.549,0,0,511.973,102.172,0.063,0.0005378,73.199,NaN,8.042,NaN,NaN,7.5,44.179,90,0,2.088,15,1013.25,0.01
0.17,0.27,82.677,0,0,511.852,102.052,0.062,0.0005378,73.189,NaN,8.619,NaN,NaN,7.5,44.179,90,0,2.099,15,1013.249,0.01
0.18,0.351,80.542,0,0,511.732,101.931,0.062,0.0005378,73.18,NaN,9.196,NaN,NaN,7.5,44.179,90,0,2.11,15,1013.249,0.01
0.19,0.445,78.16,0,0,511.612,101.811,0.062,0.0005378,73.17,NaN,9.772,NaN,NaN,7.5,44.179,90,0,2.12,15,1013.248,0.01
0.2,0.549,75.557,0,0,511.492,101.691,0.062,0.0005377,73.161,NaN,10.349,NaN,NaN,7.5,44.179,90,0,2.131,15,1013.248,0.01
# Event LIFTOFF occurred at t=0.21 seconds,,,,,,,,,,,,,,,,,,,,,
0.21,0.665,72.545,0,0,511.371,101.571,0.062,0.0005377,73.151,NaN,10.926,NaN,NaN,7.5,44.179,90,0,2.114,15,1013.247,0.01
0.22,0.792,69.308,0,0,511.251,101.45,0.062,0.0005377,73.142,NaN,11.503,NaN,NaN,7.5,44.179,90,0,2.096,15,1013.246,0.01
0.23,0.93,65.892,0,0,511.12,101.319,0.062,0.0005377,73.132,NaN,12.081,NaN,NaN,7.5,44.179,90,0,2.078,15,1013.245,0.01
0.24,1.08,62.331,0,0,510.947,101.146,0.062,0.0005377,73.118,NaN,12.692,NaN,NaN,7.5,44.179,90,0,2.061,15,1013.244,0.01
0.25,1.243,58.68,0,0,510.774,100.973,0.062,0.0005377,73.104,NaN,13.319,NaN,NaN,7.5,44.179,90,0,2.043,15,1013.243,0.01
0.26,1.418,55.22,0,0,510.6,100.8,0.062,0.0005377,73.091,NaN,13.946,NaN,NaN,7.5,44.179,90,0,2.042,15,1013.241,0.01
0.27,1.606,51.811,0,0,510.427,100.627,0.062,0.0005376,73.077,NaN,14.573,NaN,NaN,7.5,44.179,90,0,2.041,14.999,1013.239,0.01
0.28,1.806,48.496,0,0,510.254,100.453,0.062,0.0005376,73.063,NaN,15.2,NaN,NaN,7.5,44.179,90,0,2.041,14.999,1013.237,0.01
0.29,2.018,45.31,0,0,510.081,100.28,0.062,0.0005376,73.05,NaN,15.827,NaN,NaN,7.5,44.179,90,0,2.04,14.999,1013.235,0.01
0.3,2.242,42.279,0,0,509.879,100.078,0.062,0.0005376,73.034,NaN,16.457,NaN,NaN,7.5,44.179,90,0,2.039,14.999,1013.233,0.01
0.31,2.48,39.048,0,0,509.657,99.857,0.062,0.0005376,73.016,NaN,17.103,NaN,NaN,7.5,44.179,90,0,2.012,14.999,1013.23,0.01
0.32,2.73,36.009,0,0,509.436,99.635,0.062,0.0005375,72.999,NaN,17.75,NaN,NaN,7.5,44.179,90,0,1.984,14.999,1013.227,0.01
0.33,2.993,33.176,0,0,509.215,99.414,0.062,0.0005375,72.981,NaN,18.398,NaN,NaN,7.5,44.179,90,0,1.957,14.999,1013.223,0.01
0.34,3.269,30.551,0,0,508.993,99.193,0.062,0.0005375,72.964,NaN,19.045,NaN,NaN,7.5,44.179,90,0,1.929,14.998,1013.22,0.01
0.35,3.557,28.131,0,0,508.772,98.971,0.062,0.0005375,72.946,NaN,19.692,NaN,NaN,7.5,44.179,90,0,1.902,14.998,1013.216,0.01
0.36,3.86,26.373,0,0,508.524,98.723,0.062,0.0005374,72.927,NaN,20.396,NaN,NaN,7.5,44.179,90,0,1.914,14.998,1013.211,0.01
0.37,4.18,24.736,0,0,508.264,98.463,0.062,0.0005374,72.906,NaN,21.264,NaN,NaN,7.5,44.179,90,0,1.926,14.998,1013.207,0.01
0.38,4.517,23.216,0,0,508.004,98.203,0.062,0.0005374,72.885,NaN,22.141,NaN,NaN,7.5,44.179,90,0,1.937,14.997,1013.202,0.01
0.39,4.87,21.814,0,0,507.72,97.919,0.062,0.0005374,72.863,NaN,22.955,NaN,NaN,7.5,44.179,90,0,1.949,14.997,1013.196,0.01
0.4,5.237,20.53,0,0,507.429,97.629,0.062,0.0005373,72.84,NaN,23.636,NaN,NaN,7.5,44.179,90,0,1.961,14.997,1013.19,0.01
0.41,5.617,19.286,0,0,507.139,97.338,0.062,0.0005373,72.816,NaN,24.313,NaN,NaN,7.5,44.179,90,0,1.966,14.996,1013.184,0.01
0.42,6.011,18.147,0,0,506.848,97.048,0.062,0.0005373,72.793,NaN,24.984,NaN,NaN,7.5,44.179,90,0,1.97,14.996,1013.177,0.01
0.43,6.406,17.132,0,0,506.556,96.756,0.062,0.0005372,72.77,NaN,25.034,NaN,NaN,7.5,44.179,90,0,1.975,14.996,1013.17,0.01
0.44,6.794,16.243,0,0,506.264,96.463,0.062,0.0005372,72.746,NaN,24.657,NaN,NaN,7.5,44.179,90,0,1.979,14.995,1013.162,0.01
0.45,7.174,15.457,0,0,505.972,96.171,0.062,0.0005372,72.723,NaN,24.28,NaN,NaN,7.5,44.179,90,0,1.984,14.995,1013.154,0.01
0.46,7.547,14.769,0,0,505.679,95.879,0.061,0.0005371,72.699,NaN,23.903,NaN,NaN,7.5,44.179,90,0,1.99,14.994,1013.145,0.01
0.47,7.912,14.155,0,0,505.387,95.586,0.061,0.0005371,72.676,NaN,23.526,NaN,NaN,7.5,44.179,90,0,1.996,14.994,1013.136,0.01
# Event LAUNCHROD occurred at t=0.48 seconds,,,,,,,,,,,,,,,,,,,,,
0.48,8.271,13.603,0,0,505.103,95.302,0.061,0.0005371,72.653,NaN,23.143,NaN,NaN,7.5,44.179,90,0,2.001,14.993,1013.127,0.01
0.495,8.791,12.83,-1.16,-0.000006941,504.704,94.904,0.061,0.000537,72.621,-3.464,22.53,-5.123,-0.0002407,7.5,44.179,89.991,179.997,2.01,14.992,1013.112,0.015
0.518,9.528,11.786,-2.982,-0.0001636,504.107,94.306,0.061,0.000537,72.573,-3.585,21.558,-4.595,0.00007729,7.5,44.179,89.945,179.997,2.003,14.991,1013.087,0.023
0.551,10.564,10.581,-5.854,-0.0002023,503.286,93.485,0.061,0.0005369,72.506,-3.744,20.503,-3.994,0.0001252,7.5,44.179,89.796,179.998,1.984,14.989,1013.048,0.034
0.597,11.878,9.609,-10.053,-0.0001544,502.191,92.391,0.061,0.0005368,72.417,-3.887,19.549,-3.497,-0.00001098,7.5,44.179,89.435,179.999,1.983,14.985,1012.988,0.046
0.638,12.998,8.886,-14.18,-0.0004265,501.275,91.474,0.061,0.0005367,72.343,-4.006,18.681,-3.119,0.00002598,7.5,44.179,88.934,179.999,1.93,14.982,1012.927,0.041
0.677,13.998,8.803,-18.366,0.0005493,500.413,90.613,0.061,0.0005366,72.272,-4.013,18.007,-3.019,0.0004631,7.5,44.179,88.302,180,1.953,14.979,1012.866,0.039
0.712,14.852,8.875,-22.638,0.0003619,499.686,89.886,0.06,0.0005365,72.213,-3.991,17.465,-2.978,-0.00002903,7.5,44.179,87.592,180,1.966,14.975,1012.807,0.035
0.743,15.603,8.845,-26.758,0.0005251,499.049,89.248,0.06,0.0005364,72.16,-3.99,17.198,-2.894,-0.00009643,7.5,44.179,86.82,180,1.914,14.972,1012.751,0.031
0.772,16.291,8.983,-30.913,0.00071,498.453,88.652,0.06,0.0005364,72.111,-3.957,16.967,-2.876,0.0001468,7.5,44.179,85.979,180,1.874,14.969,1012.696,0.029
0.799,16.913,9.23,-35.082,0.00005636,497.902,88.102,0.06,0.0005363,72.065,-3.906,16.752,-2.901,-0.0002341,7.5,44.179,85.089,180,1.84,14.966,1012.644,0.027
0.824,17.474,9.756,-39.313,-0.0002761,497.396,87.595,0.06,0.0005363,72.023,-3.81,16.554,-3.044,-0.0001062,7.5,44.179,84.166,180,1.872,14.964,1012.594,0.025
0.846,17.966,10.296,-43.526,-0.0001114,496.944,87.143,0.06,0.0005362,71.986,-3.718,16.375,-3.191,-0.0004483,7.5,44.179,83.248,180,1.902,14.961,1012.548,0.022
0.866,18.401,10.897,-47.73,0.000335,496.55,86.749,0.06,0.0005362,71.953,-3.624,16.225,-3.364,0.000343,7.5,44.179,82.336,180,1.947,14.959,1012.505,0.02
0.885,18.79,11.499,-51.922,-0.0004331,496.204,86.403,0.06,0.0005361,71.924,-3.536,16.135,-3.537,0.0002127,7.5,44.179,81.435,180,1.991,14.957,1012.466,0.018
0.901,19.141,12.092,-56.093,-0.0003404,495.888,86.087,0.06,0.0005361,71.898,-3.456,16.059,-3.706,-0.0002873,7.5,44.179,80.544,180,2.031,14.955,1012.429,0.017
0.916,19.46,12.688,-60.253,0.0001452,495.597,85.796,0.06,0.0005361,71.873,-3.381,15.99,-3.873,0.0004653,7.5,44.179,79.66,180,2.072,14.953,1012.395,0.015
0.93,19.752,13.275,-64.398,-0.0004763,495.328,85.527,0.06,0.000536,71.851,-3.312,15.926,-4.036,-0.0002343,7.5,44.179,78.784,180,2.109,14.951,1012.362,0.014
0.943,20.02,13.855,-68.531,0.00005231,495.077,85.276,0.06,0.000536,71.83,-3.247,15.866,-4.196,-0.0004848,7.5,44.179,77.914,180,2.144,14.949,1012.332,0.013
0.956,20.269,14.377,-72.656,0.0003828,494.842,85.041,0.06,0.000536,71.81,-3.193,15.81,-4.325,-0.0000734,7.5,44.179,77.047,180,2.158,14.948,1012.303,0.012
0.967,20.501,14.844,-76.743,0.0006257,494.619,84.819,0.06,0.000536,71.792,-3.146,15.758,-4.425,-0.0003075,7.5,44.179,76.179,180,2.15,14.946,1012.275,0.012
0.978,20.721,15.322,-80.832,0.0004776,494.407,84.606,0.06,0.000536,71.774,-3.1,15.708,-4.528,-0.0004409,7.5,44.179,75.304,180,2.143,14.945,1012.249,0.011
0.989,20.928,15.809,-84.918,0.0008407,494.203,84.402,0.06,0.0005359,71.757,-3.056,15.661,-4.635,0.000496,7.5,44.179,74.423,180,2.136,14.943,1012.223,0.011
0.999,21.124,16.303,-89.001,0.0003652,494.008,84.207,0.059,0.0005359,71.74,-3.013,15.615,-4.743,-0.00009649,7.5,44.179,73.536,180,2.129,14.942,1012.198,0.01
1.009,21.31,16.782,-93.077,0.0007102,493.821,84.02,0.059,0.0005359,71.725,-2.973,15.571,-4.84,-0.0004509,7.5,44.179,72.646,180,2.114,14.94,1012.174,0.01
1.018,21.486,17.268,-97.151,0.0006633,493.64,83.84,0.059,0.0005359,71.709,-2.935,15.529,-4.939,0.0001744,7.5,44.179,71.749,180,2.1,14.939,1012.15,0.009
1.028,21.654,17.761,-101.221,0.0007519,493.466,83.666,0.059,0.0005359,71.695,-2.897,15.488,-5.039,-0.00003579,7.5,44.179,70.848,180,2.085,14.938,1012.127,0.009
1.036,21.813,18.26,-105.29,0.0003838,493.298,83.498,0.059,0.0005358,71.68,-2.861,15.449,-5.14,0.0003185,7.5,44.179,69.942,180,2.072,14.937,1012.105,0.009
1.045,21.964,18.764,-109.357,0.0005214,493.142,83.341,0.059,0.0005358,71.667,-2.826,15.417,-5.242,-0.0003809,7.5,44.179,69.031,180,2.059,14.935,1012.083,0.008
1.053,22.108,19.295,-113.421,0.0001478,492.991,83.19,0.059,0.0005358,71.655,-2.791,15.393,-5.356,-0.00006728,7.5,44.179,68.117,180,2.054,14.934,1012.062,0.008
1.061,22.245,19.863,-117.495,0.0001061,492.845,83.045,0.059,0.0005358,71.642,-2.755,15.37,-5.486,-0.0001584,7.5,44.179,67.2,180,2.064,14.933,1012.042,0.008
1.069,22.375,20.428,-121.564,0.0002304,492.705,82.904,0.059,0.0005358,71.63,-2.721,15.348,-5.614,-0.0001577,7.5,44.179,66.285,180,2.073,14.932,1012.022,0.008
1.076,22.498,20.993,-125.629,0.00003378,492.569,82.768,0.059,0.0005358,71.619,-2.688,15.326,-5.738,0.000005969,7.5,44.179,65.37,180,2.082,14.931,1012.003,0.007
1.083,22.614,21.555,-129.691,0.0004631,492.437,82.636,0.059,0.0005357,71.608,-2.657,15.306,-5.86,-0.0001609,7.5,44.179,64.456,180,2.09,14.93,1011.984,0.007
1.09,22.725,22.117,-133.75,0.0002953,492.309,82.509,0.059,0.0005357,71.597,-2.627,15.285,-5.978,-0.0004615,7.5,44.179,63.54,180,2.099,14.929,1011.966,0.007
1.097,22.83,22.679,-137.806,0.0004102,492.185,82.385,0.059,0.0005357,71.586,-2.599,15.266,-6.094,0.00008003,7.5,44.179,62.623,180,2.107,14.928,1011.948,0.007
1.103,22.93,23.216,-141.858,0.0002135,492.065,82.264,0.059,0.0005357,71.576,-2.572,15.247,-6.192,-0.0001664,7.5,44.179,61.705,180,2.105,14.927,1011.931,0.007
1.11,23.025,23.734,-145.9,0.0006408,491.947,82.146,0.059,0.0005357,71.566,-2.548,15.228,-6.276,-0.0003543,7.5,44.179,60.782,180,2.095,14.926,1011.914,0.006
1.116,23.115,24.257,-149.941,0.0003109,491.831,82.031,0.059,0.0005357,71.556,-2.524,15.21,-6.36,-0.00042,7.5,44.179,59.853,180,2.085,14.925,1011.897,0.006
1.122,23.201,24.783,-153.981,0.0002922,491.718,81.918,0.059,0.0005357,71.547,-2.501,15.193,-6.443,-0.0002408,7.5,44.179,58.918,180,2.075,14.924,1011.881,0.006
1.128,23.283,25.313,-158.019,0.0004642,491.608,81.807,0.059,0.0005357,71.537,-2.479,15.175,-6.524,-0.000002803,7.5,44.179,57.977,180,2.065,14.923,1011.865,0.006
1.134,23.361,25.847,-162.056,0.0003342,491.499,81.698,0.059,0.0005356,71.528,-2.457,15.158,-6.604,0.0001652,7.5,44.179,57.03,180,2.056,14.922,1011.849,0.006
1.14,23.435,26.385,-166.091,0.0005061,491.392,81.592,0.059,0.0005356,71.519,-2.436,15.141,-6.682,0.0004817,7.5,44.179,56.076,180,2.047,14.921,1011.833,0.006
1.146,23.504,26.927,-170.124,0.0002096,491.287,81.487,0.059,0.0005356,71.51,-2.415,15.125,-6.758,0.0001687,7.5,44.179,55.116,180,2.038,14.921,1011.818,0.006
1.151,23.57,27.485,-174.157,0.0003732,491.184,81.383,0.059,0.0005356,71.501,-2.395,15.109,-6.839,0.0001642,7.5,44.179,54.149,180,2.033,14.92,1011.803,0.006
1.157,23.632,28.08,-178.195,0.0001186,491.083,81.282,0.059,0.0005356,71.493,-2.374,15.093,-6.937,-0.0001655,7.5,44.179,53.175,180,2.044,14.919,1011.788,0.006
1.162,23.69,28.675,-182.23,0.0005331,490.983,81.182,0.059,0.0005356,71.484,-2.353,15.077,-7.031,-0.0001243,7.5,44.179,52.198,180,2.054,14.918,1011.773,0.005
1.168,23.744,29.272,-186.263,0.0003136,490.885,81.084,0.059,0.0005356,71.476,-2.334,15.062,-7.119,-0.0001533,7.5,44.179,51.216,180,2.063,14.917,1011.759,0.005
1.173,23.794,29.87,-190.293,0.0007742,490.789,80.988,0.059,0.0005356,71.468,-2.315,15.047,-7.204,0.00002528,7.5,44.179,50.228,180,2.073,14.917,1011.745,0.005
1.178,23.841,30.471,-194.321,0.0005163,490.694,80.893,0.059,0.0005356,71.46,-2.297,15.032,-7.284,-0.0004719,7.5,44.179,49.235,180,2.083,14.916,1011.731,0.005
1.183,23.883,31.073,-198.347,0.0006652,490.6,80.8,0.059,0.0005356,71.452,-2.279,15.017,-7.36,-0.0001134,7.5,44.179,48.234,180,2.092,14.915,1011.717,0.005
1.188,23.923,31.679,-202.372,0.0008313,490.508,80.707,0.059,0.0005355,71.444,-2.262,15.003,-7.431,-0.0004801,7.5,44.179,47.226,180,2.101,14.914,1011.703,0.005
1.193,23.958,32.288,-206.393,0.0005929,490.416,80.616,0.059,0.0005355,71.436,-2.245,14.989,-7.499,-0.0002044,7.5,44.179,46.21,180,2.11,14.914,1011.69,0.005
1.198,23.99,32.901,-210.413,0.0007723,490.326,80.525,0.059,0.0005355,71.428,-2.229,14.975,-7.561,-0.0003784,7.5,44.179,45.186,180,2.119,14.913,1011.677,0.005
