gimbalY,(WRT Quadrant I),GIMBAL Y,,gimbalX,,GIMBAL X,(WRT Quadrant I),,,,,,,,gimY,,GimX,
,,,,,,,,,,,,,,,-20,2424.6,-20,285.8
Servo Position,Gimbal Angle (Y),Gimbal Y,Servo PWM ,Servo Position,Gimbal X,Servo PWM ,Gimbal Angle (X),,,,,,,,-19.75,2410.164,-19.75,300.812
0,103,13,1000,0,-6.5,1000,83.5,,,,,,,,-19.5,2395.786,-19.5,315.788
5,102,12,1027.777778,5,-6,1027.777778,84,,,,,,,,-19.25,2381.466,-19.25,330.728
10,101,11,1055.555556,10,-5.5,1055.555556,84.5,,,,,,,,-19,2367.204,-19,345.632
15,100.5,10.5,1083.333333,15,-6,1083.333333,84,,,,,,,,-18.75,2353,-18.75,360.5
20,100,10,1111.111111,20,-5.25,1111.111111,84.75,,,,,,,,-18.5,2338.854,-18.5,375.332
25,99,9,1138.888889,25,-5,1138.888889,85,,,,,,,,-18.25,2324.766,-18.25,390.128
30,98.5,8.5,1166.666667,30,-4.5,1166.666667,85.5,,,,,,,,-18,2310.736,-18,404.888
35,97,7,1194.444444,35,-4,1194.444444,86,,,,,,,,-17.75,2296.764,-17.75,419.612
40,96.5,6.5,1222.222222,40,-3.5,1222.222222,86.5,,,,,,,,-17.5,2282.85,-17.5,434.3
45,96,6,1250,45,-3,1250,87,,,,,,,,-17.25,2268.994,-17.25,448.952
50,95.5,5.5,1277.777778,50,-2,1277.777778,88,,,,,,,,-17,2255.196,-17,463.568
55,94.5,4.5,1305.555556,55,-1,1305.555556,89,,,,,,,,-16.75,2241.456,-16.75,478.148
60,94,4,1333.333333,60,-0.5,1333.333333,89.5,,,,,,,,-16.5,2227.774,-16.5,492.692
65,93,3,1361.111111,65,-0.25,1361.111111,89.75,,,,,,,,-16.25,2214.15,-16.25,507.2
70,92,2,1388.888889,70,-0.25,1388.888889,89.75,,,,,,,,-16,2200.584,-16,521.672
75,91,1,1416.666667,75,0,1416.666667,90,,,,,,,,-15.75,2187.076,-15.75,536.108
80,90.5,0.5,1444.444444,80,0.5,1444.444444,90.5,,,,,,,,-15.5,2173.626,-15.5,550.508
85,90,0,1472.222222,85,1.5,1472.222222,91.5,,,,,,,,-15.25,2160.234,-15.25,564.872
90,89,-1,1500,90,2.5,1500,92.5,,,,,,,,-15,2146.9,-15,579.2
95,88,-2,1527.777778,95,3,1527.777778,93,,,,,,,,-14.75,2133.624,-14.75,593.492
100,87,-3,1555.555556,100,4,1555.555556,94,,,,,,,,-14.5,2120.406,-14.5,607.748
105,86,-4,1583.333333,105,5,1583.333333,95,,,,,,,,-14.25,2107.246,-14.25,621.968
110,85.5,-4.5,1611.111111,110,6,1611.111111,96,,,,,,,,-14,2094.144,-14,636.152
115,85,-5,1638.888889,115,6,1638.888889,96,,,,,,,,-13.75,2081.1,-13.75,650.3
120,84,-6,1666.666667,120,7,1666.666667,97,,,,,,,,-13.5,2068.114,-13.5,664.412
125,84,-6,1694.444444,125,7,1694.444444,97,,,,,,,,-13.25,2055.186,-13.25,678.488
130,83,-7,1722.222222,130,7.5,1722.222222,97.5,,,,,,,,-13,2042.316,-13,692.528
135,83,-7,1750,135,9,1750,99,,,,,,,,-12.75,2029.504,-12.75,706.532
140,81,-9,1777.777778,140,9.5,1777.777778,99.5,,,,,,,,-12.5,2016.75,-12.5,720.5
145,81,-9,1805.555556,145,10,1805.555556,100,,,,,,,,-12.25,2004.054,-12.25,734.432
150,80.5,-9.5,1833.333333,150,10,1833.333333,100,,,,,,,,-12,1991.416,-12,748.328
155,80.5,-9.5,1861.111111,155,11,1861.111111,101,,,,,,,,-11.75,1978.836,-11.75,762.188
160,80.5,-9.5,1888.888889,160,11,1888.888889,101,,,,,,,,-11.5,1966.314,-11.5,776.012
165,80,-10,1916.666667,165,12,1916.666667,102,,,,,,,,-11.25,1953.85,-11.25,789.8
170,80,-10,1944.444444,170,12,1944.444444,102,,,,,,,,-11,1941.444,-11,803.552
175,79.5,-10.5,1972.222222,175,13,1972.222222,103,,,,,,,,-10.75,1929.096,-10.75,817.268
180,79,-11,2000,180,13,2000,103,,,,,,,,-10.5,1916.806,-10.5,830.948
,,,,,,,,,,,,,,,-10.25,1904.574,-10.25,844.592
,,,,,,,,,,,,,,,-10,1892.4,-10,858.2
,,,,,,,,,,,,,,,-9.75,1880.284,-9.75,871.772
,,,,,,,,,,,,,,,-9.5,1868.226,-9.5,885.308
,,,,,,,,,,,,,,,-9.25,1856.226,-9.25,898.808
,,,,,,,,,,,,,,,-9,1844.284,-9,912.272
,,,,,,,,,,,,,,,-8.75,1832.4,-8.75,925.7
,,,,,,,,,,,,,,,-8.5,1820.574,-8.5,939.092
,,,,,,,,,,,,,,,-8.25,1808.806,-8.25,952.448
,,,,,,,,,,,,,,,-8,1797.096,-8,965.768
,,,,,,,,,,,,,,,-7.75,1785.444,-7.75,979.052
,,,,,,,,,,,,,,,-7.5,1773.85,-7.5,992.3
,,,,,,,,,,,,,,,-7.25,1762.314,-7.25,1005.512
,,,,,,,,,,,,,,,-7,1750.836,-7,1018.688
,,,,,,,,,,,,,,,-6.75,1739.416,-6.75,1031.828
,,,,,,,,,,,,,,,-6.5,1728.054,-6.5,1044.932
,,,,,,,,,,,,,,,-6.25,1716.75,-6.25,1058
,,,,,,,,,,,,,,,-6,1705.504,-6,1071.032
,,,,,,,,,,,,,,,-5.75,1694.316,-5.75,1084.028
,,,,,,,,,,,,,,,-5.5,1683.186,-5.5,1096.988
,,,,,,,,,,,,,,,-5.25,1672.114,-5.25,1109.912
,,,,,,,,,,,,,,,-5,1661.1,-5,1122.8
,,,,,,,,,,,,,,,-4.75,1650.144,-4.75,1135.652
,,,,,,,,,,,,,,,-4.5,1639.246,-4.5,1148.468
,,,,,,,,,,,,,,,-4.25,1628.406,-4.25,1161.248
,,,,,,,,,,,,,,,-4,1617.624,-4,1173.992
,,,,,,,,,,,,,,,-3.75,1606.9,-3.75,1186.7
,,,,,,,,,,,,,,,-3.5,1596.234,-3.5,1199.372
,,,,,,,,,,,,,,,-3.25,1585.626,-3.25,1212.008
,,,,,,,,,,,,,,,-3,1575.076,-3,1224.608
,,,,,,,,,,,,,,,-2.75,1564.584,-2.75,1237.172
,,,,,,,,,,,,,,,-2.5,1554.15,-2.5,1249.7
,,,,,,,,,,,,,,,-2.25,1543.774,-2.25,1262.192
,,,,,,,,,,,,,,,-2,1533.456,-2,1274.648
,,,,,,,,,,,,,,,-1.75,1523.196,-1.75,1287.068
,,,,,,,,,,,,,,,-1.5,1512.994,-1.5,1299.452
,,,,,,,,,,,,,,,-1.25,1502.85,-1.25,1311.8
,,,,,,,,,,,,,,,-1,1492.764,-1,1324.112
,,,,,,,,,,,,,,,-0.75,1482.736,-0.75,1336.388
,,,,,,,,,,,,,,,-0.5,1472.766,-0.5,1348.628
,,,,,,,,,,,,,,,-0.25,1462.854,-0.25,1360.832
,,,,,,,,,,,,,,,0,1453,0,1373
,,,,,,,,,,,,,,,0.25,1443.204,0.25,1385.132
,,,,,,,,,,,,,,,0.5,1433.466,0.5,1397.228
,,,,,,,,,,,,,,,0.75,1423.786,0.75,1409.288
,,,,,,,,,,,,,,,1,1414.164,1,1421.312
,,,,,,,,,,,,,,,1.25,1404.6,1.25,1433.3
,,,,,,,,,,,,,,,1.5,1395.094,1.5,1445.252
,,,,,,,,,,,,,,,1.75,1385.646,1.75,1457.168
,,,,,,,,,,,,,,,2,1376.256,2,1469.048
,,,,,,,,,,,,,,,2.25,1366.924,2.25,1480.892
,,,,,,,,,,,,,,,2.5,1357.65,2.5,1492.7
,,,,,,,,,,,,,,,2.75,1348.434,2.75,1504.472
,,,,,,,,,,,,,,,3,1339.276,3,1516.208
,,,,,,,,,,,,,,,3.25,1330.176,3.25,1527.908
,,,,,,,,,,,,,,,3.5,1321.134,3.5,1539.572
,,,,,,,,,,,,,,,3.75,1312.15,3.75,1551.2
,,,,,,,,,,,,,,,4,1303.224,4,1562.792
,,,,,,,,,,,,,,,4.25,1294.356,4.25,1574.348
,,,,,,,,,,,,,,,4.5,1285.546,4.5,1585.868
,,,,,,,,,,,,,,,4.75,1276.794,4.75,1597.352
,,,,,,,,,,,,,,,5,1268.1,5,1608.8
,,,,,,,,,,,,,,,5.25,1259.464,5.25,1620.212
,,,,,,,,,,,,,,,5.5,1250.886,5.5,1631.588
,,,,,,,,,,,,,,,5.75,1242.366,5.75,1642.928
,,,,,,,,,,,,,,,6,1233.904,6,1654.232
,,,,,,,,,,,,,,,6.25,1225.5,6.25,1665.5
,,,,,,,,,,,,,,,6.5,1217.154,6.5,1676.732
,,,,,,,,,,,,,,,6.75,1208.866,6.75,1687.928
,,,,,,,,,,,,,,,7,1200.636,7,1699.088
,,,,,,,,,,,,,,,7.25,1192.464,7.25,1710.212
,,,,,,,,,,,,,,,7.5,1184.35,7.5,1721.3
,,,,,,,,,,,,,,,7.75,1176.294,7.75,1732.352
,,,,,,,,,,,,,,,8,1168.296,8,1743.368
,,,,,,,,,,,,,,,8.25,1160.356,8.25,1754.348
,,,,,,,,,,,,,,,8.5,1152.474,8.5,1765.292
,,,,,,,,,,,,,,,8.75,1144.65,8.75,1776.2
,,,,,,,,,,,,,,,9,1136.884,9,1787.072
,,,,,,,,,,,,,,,9.25,1129.176,9.25,1797.908
,,,,,,,,,,,,,,,9.5,1121.526,9.5,1808.708
,,,,,,,,,,,,,,,9.75,1113.934,9.75,1819.472
,,,,,,,,,,,,,,,10,1106.4,10,1830.2
,,,,,,,,,,,,,,,10.25,1098.924,10.25,1840.892
,,,,,,,,,,,,,,,10.5,1091.506,10.5,1851.548
,,,,,,,,,,,,,,,10.75,1084.146,10.75,1862.168
,,,,,,,,,,,,,,,11,1076.844,11,1872.752
,,,,,,,,,,,,,,,11.25,1069.6,11.25,1883.3
,,,,,,,,,,,,,,,11.5,1062.414,11.5,1893.812
,,,,,,,,,,,,,,,11.75,1055.286,11.75,1904.288
,,,,,,,,,,,,,,,12,1048.216,12,1914.728
,,,,,,,,,,,,,,,12.25,1041.204,12.25,1925.132
,,,,,,,,,,,,,,,12.5,1034.25,12.5,1935.5
,,,,,,,,,,,,,,,12.75,1027.354,12.75,1945.832
,,,,,,,,,,,,,,,13,1020.516,13,1956.128
,,,,,,,,,,,,,,,13.25,1013.736,13.25,1966.388
,,,,,,,,,,,,,,,13.5,1007.014,13.5,1976.612
,,,,,,,,,,,,,,,13.75,1000.35,13.75,1986.8
,,,,,,,,,,,,,,,14,993.744,14,1996.952
,,,,,,,,,,,,,,,14.25,987.196,14.25,2007.068
,,,,,,,,,,,,,,,14.5,980.706,14.5,2017.148
,,,,,,,,,,,,,,,14.75,974.274,14.75,2027.192
,,,,,,,,,,,,,,,15,967.9,15,2037.2
,,,,,,,,,,,,,,,15.25,961.584,15.25,2047.172
,,,,,,,,,,,,,,,15.5,955.326,15.5,2057.108
,,,,,,,,,,,,,,,15.75,949.126,15.75,2067.008
,,,,,,,,,,,,,,,16,942.984,16,2076.872
,,,,,,,,,,,,,,,16.25,936.9,16.25,2086.7
,,,,,,,,,,,,,,,16.5,930.874,16.5,2096.492
,,,,,,,,,,,,,,,16.75,924.906,16.75,2106.248
,,,,,,,,,,,,,,,17,918.996,17,2115.968
,,,,,,,,,,,,,,,17.25,913.144,17.25,2125.652
,,,,,,,,,,,,,,,17.5,907.35,17.5,2135.3
,,,,,,,,,,,,,,,17.75,901.614,17.75,2144.912
,,,,,,,,,,,,,,,18,895.936,18,2154.488
,,,,,,,,,,,,,,,18.25,890.316,18.25,2164.028
,,,,,,,,,,,,,,,18.5,884.754,18.5,2173.532
,,,,,,,,,,,,,,,18.75,879.25,18.75,2183
,,,,,,,,,,,,,,,19,873.804,19,2192.432
,,,,,,,,,,,,,,,19.25,868.416,19.25,2201.828
,,,,,,,,,,,,,,,19.5,863.086,19.5,2211.188
,,,,,,,,,,,,,,,19.75,857.814,19.75,2220.512
,,,,,,,,,,,,,,,20,852.6,20,2229.8